"Label (Grouping)","Total:","Total:!!White alone","Total:!!Black or African American alone","Total:!!American Indian and Alaska Native alone","Total:!!Asian alone","Total:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Some other race alone","Total:!!Two or more races:","Total:!!Two or more races:!!Two races including Some other race","Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"    Estimate","3,323,970","2,213,608","164,042","24,373","398,526","13,727","223,588","286,106","123,843","162,263"
"San Francisco County, California","","","","","","","","","",""
"    Estimate","874,784","392,476","44,930","3,800","300,339","3,179","67,358","62,702","16,528","46,174"
"San Joaquin County, California","","","","","","","","","",""
"    Estimate","751,615","387,165","53,116","4,695","119,446","4,597","76,400","106,196","33,923","72,273"
"San Luis Obispo County, California","","","","","","","","","",""
"    Estimate","282,517","233,297","4,865","2,383","10,559","258","12,435","18,720","9,202","9,518"
"San Mateo County, California","","","","","","","","","",""
"    Estimate","765,623","369,924","18,104","3,917","225,027","9,611","81,350","57,690","20,943","36,747"
"Santa Barbara County, California","","","","","","","","","",""
"    Estimate","444,895","319,547","8,474","4,941","24,678","528","43,441","43,286","26,738","16,548"
"Santa Clara County, California","","","","","","","","","",""
"    Estimate","1,924,379","801,381","47,379","9,990","724,855","6,949","189,968","143,857","59,116","84,741"
"Santa Cruz County, California","","","","","","","","","",""
"    Estimate","273,170","195,781","3,472","1,708","13,563","484","38,978","19,184","8,461","10,723"
"Shasta County, California","","","","","","","","","",""
"    Estimate","179,267","152,586","1,912","4,420","5,772","281","3,925","10,371","3,043","7,328"
"Sierra County, California","","","","","","","","","",""
"    Estimate","2,898","2,722","3","69","0","0","88","16","0","16"
"Siskiyou County, California","","","","","","","","","",""
"    Estimate","43,516","36,195","668","1,686","547","160","826","3,434","705","2,729"
"Solano County, California","","","","","","","","","",""
"    Estimate","444,538","225,258","60,991","2,531","69,169","4,212","41,038","41,339","10,157","31,182"
"Sonoma County, California","","","","","","","","","",""
"    Estimate","496,801","360,200","8,266","4,441","21,239","1,614","66,089","34,952","14,102","20,850"
"Stanislaus County, California","","","","","","","","","",""
"    Estimate","546,235","384,703","16,961","4,738","32,003","3,266","56,972","47,592","29,782","17,810"
"Sutter County, California","","","","","","","","","",""
"    Estimate","96,315","61,307","1,894","1,061","15,997","588","5,950","9,518","4,071","5,447"
"Tehama County, California","","","","","","","","","",""
"    Estimate","64,176","53,987","420","865","1,090","18","3,344","4,452","1,949","2,503"
"Trinity County, California","","","","","","","","","",""
"    Estimate","12,541","10,694","65","722","244","35","449","332","42","290"
"Tulare County, California","","","","","","","","","",""
"    Estimate","463,955","309,798","7,606","5,955","17,310","618","85,508","37,160","26,889","10,271"
"Tuolumne County, California","","","","","","","","","",""
"    Estimate","54,147","46,905","1,007","948","753","146","1,599","2,789","808","1,981"
"Ventura County, California","","","","","","","","","",""
"    Estimate","845,599","637,686","15,422","6,990","61,239","1,943","50,425","71,894","38,252","33,642"
"Yolo County, California","","","","","","","","","",""
"    Estimate","218,774","145,299","5,694","1,420","31,584","1,018","12,433","21,326","7,912","13,414"
"Yuba County, California","","","","","","","","","",""
"    Estimate","77,524","56,990","2,632","1,030","5,631","310","3,370","7,561","1,922","5,639"
"Adams County, Colorado","","","","","","","","","",""
"    Estimate","509,844","386,954","17,149","5,360","20,307","801","34,186","45,087","23,507","21,580"
"Alamosa County, Colorado","","","","","","","","","",""
"    Estimate","16,153","12,810","108","558","204","73","1,261","1,139","526","613"
"Arapahoe County, Colorado","","","","","","","","","",""
"    Estimate","649,980","452,368","71,253","4,496","40,480","1,587","38,020","41,776","16,922","24,854"
"Archuleta County, Colorado","","","","","","","","","",""
"    Estimate","13,588","11,200","166","303","153","18","1,434","314","123","191"
"Baca County, Colorado","","","","","","","","","",""
"    Estimate","3,570","3,287","33","71","0","2","76","101","17","84"
"Bent County, Colorado","","","","","","","","","",""
"    Estimate","5,677","4,632","273","211","38","0","178","345","140","205"
"Boulder County, Colorado","","","","","","","","","",""
"    Estimate","324,682","283,102","2,929","1,656","15,832","209","6,795","14,159","5,436","8,723"
"Broomfield County, Colorado","","","","","","","","","",""
"    Estimate","69,444","59,437","1,009","337","4,614","0","753","3,294","1,156","2,138"
"Chaffee County, Colorado","","","","","","","","","",""
"    Estimate","19,977","18,365","410","82","186","102","380","452","153","299"
"Cheyenne County, Colorado","","","","","","","","","",""
"    Estimate","1,999","1,797","3","0","21","6","3","169","115","54"
"Clear Creek County, Colorado","","","","","","","","","",""
"    Estimate","9,533","9,025","94","65","107","0","1","241","11","230"
"Conejos County, Colorado","","","","","","","","","",""
"    Estimate","8,130","6,743","23","194","23","0","419","728","522","206"
"Costilla County, Colorado","","","","","","","","","",""
"    Estimate","3,810","2,924","13","78","43","0","163","589","345","244"
"Crowley County, Colorado","","","","","","","","","",""
"    Estimate","5,733","4,495","285","192","75","0","30","656","256","400"
"Custer County, Colorado","","","","","","","","","",""
"    Estimate","4,941","4,614","84","5","18","0","165","55","6","49"
"Delta County, Colorado","","","","","","","","","",""
"    Estimate","30,758","28,728","363","252","263","0","396","756","331","425"
"Denver County, Colorado","","","","","","","","","",""
"    Estimate","715,878","517,163","65,745","5,550","25,873","1,157","49,727","50,663","25,756","24,907"
"Dolores County, Colorado","","","","","","","","","",""
"    Estimate","1,896","1,709","0","92","0","0","69","26","0","26"
"Douglas County, Colorado","","","","","","","","","",""
"    Estimate","344,280","301,179","5,117","1,333","17,538","224","5,285","13,604","4,353","9,251"
"Eagle County, Colorado","","","","","","","","","",""
"    Estimate","54,960","47,537","548","130","303","0","2,476","3,966","2,981","985"
"Elbert County, Colorado","","","","","","","","","",""
"    Estimate","26,230","23,975","78","282","262","9","254","1,370","659","711"
"El Paso County, Colorado","","","","","","","","","",""
"    Estimate","710,499","556,174","44,745","5,686","18,755","2,444","27,259","55,436","16,965","38,471"
"Fremont County, Colorado","","","","","","","","","",""
"    Estimate","47,725","42,878","2,286","567","361","7","530","1,096","430","666"
"Garfield County, Colorado","","","","","","","","","",""
"    Estimate","59,605","50,503","310","293","490","55","5,148","2,806","1,689","1,117"
"Gilpin County, Colorado","","","","","","","","","",""
"    Estimate","6,108","5,694","34","164","0","0","5","211","18","193"
"Grand County, Colorado","","","","","","","","","",""
"    Estimate","15,536","14,414","132","138","104","26","79","643","366","277"
"Gunnison County, Colorado","","","","","","","","","",""
"    Estimate","17,119","16,151","53","200","65","0","151","499","152","347"
"Hinsdale County, Colorado","","","","","","","","","",""
"    Estimate","781","720","13","21","3","0","14","10","8","2"
"Huerfano County, Colorado","","","","","","","","","",""
"    Estimate","6,769","6,180","8","191","2","0","122","266","56","210"
"Jackson County, Colorado","","","","","","","","","",""
"    Estimate","1,316","1,297","8","0","0","0","0","11","9","2"
"Jefferson County, Colorado","","","","","","","","","",""
"    Estimate","578,795","511,645","6,589","3,788","16,280","412","12,605","27,476","11,491","15,985"
"Kiowa County, Colorado","","","","","","","","","",""
"    Estimate","1,463","1,439","5","2","0","0","4","13","3","10"
"Kit Carson County, Colorado","","","","","","","","","",""
"    Estimate","7,246","6,484","28","40","10","46","420","218","82","136"
"Lake County, Colorado","","","","","","","","","",""
"    Estimate","7,845","6,353","5","253","43","4","457","730","373","357"
"La Plata County, Colorado","","","","","","","","","",""
"    Estimate","56,138","48,369","309","3,579","432","17","1,471","1,961","591","1,370"
"Larimer County, Colorado","","","","","","","","","",""
"    Estimate","350,523","312,805","3,489","2,545","7,538","303","6,225","17,618","7,815","9,803"
"Las Animas County, Colorado","","","","","","","","","",""
"    Estimate","14,323","11,844","160","582","90","0","466","1,181","524","657"
"Lincoln County, Colorado","","","","","","","","","",""
"    Estimate","5,608","5,069","413","23","21","10","28","44","7","37"
"Logan County, Colorado","","","","","","","","","",""
"    Estimate","22,282","19,662","328","203","183","338","535","1,033","442","591"
"Mesa County, Colorado","","","","","","","","","",""
"    Estimate","152,962","140,671","1,146","1,451","1,648","152","2,191","5,703","2,790","2,913"
"Mineral County, Colorado","","","","","","","","","",""
"    Estimate","853","704","11","13","47","0","11","67","20","47"
"Moffat County, Colorado","","","","","","","","","",""
"    Estimate","13,150","12,009","108","95","18","0","117","803","409","394"
"Montezuma County, Colorado","","","","","","","","","",""
"    Estimate","26,266","21,218","277","3,134","222","20","687","708","138","570"
"Montrose County, Colorado","","","","","","","","","",""
"    Estimate","42,280","38,409","85","535","403","55","705","2,088","1,536","552"
"Morgan County, Colorado","","","","","","","","","",""
"    Estimate","28,617","23,892","883","116","138","69","1,258","2,261","1,513","748"
"Otero County, Colorado","","","","","","","","","",""
"    Estimate","18,284","15,708","144","209","216","6","968","1,033","637","396"
"Ouray County, Colorado","","","","","","","","","",""
"    Estimate","4,890","4,640","76","20","0","3","11","140","58","82"
"Park County, Colorado","","","","","","","","","",""
"    Estimate","18,345","17,088","60","156","119","0","195","727","145","582"
"Phillips County, Colorado","","","","","","","","","",""
"    Estimate","4,343","4,053","0","84","18","0","67","121","109","12"
"Pitkin County, Colorado","","","","","","","","","",""
"    Estimate","17,980","16,247","87","15","412","0","651","568","249","319"
"Prowers County, Colorado","","","","","","","","","",""
"    Estimate","12,035","10,906","95","236","68","0","286","444","152","292"
"Pueblo County, Colorado","","","","","","","","","",""
"    Estimate","167,412","133,865","3,405","5,266","1,522","228","13,544","9,582","4,064","5,518"
"Rio Blanco County, Colorado","","","","","","","","","",""
"    Estimate","6,369","5,832","22","83","37","0","32","363","84","279"
"Rio Grande County, Colorado","","","","","","","","","",""
"    Estimate","11,300","10,017","8","329","8","5","441","492","241","251"
"Routt County, Colorado","","","","","","","","","",""
"    Estimate","25,317","23,648","257","77","355","4","267","709","540","169"
"Saguache County, Colorado","","","","","","","","","",""
"    Estimate","6,730","5,963","74","92","7","0","251","343","19","324"
